Issue_ID,Issue_Type,Summary,Description,Priority,Status,Component,Labels,Preconditions,Test_Steps,Expected_Result,Actual_Result,Test_Data
VWO-TC-0011,Test,Verify login form is keyboard navigable,Test covers: Accessibility. Verify login form is keyboard navigable. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Accessibility,"accessibility,aria,a11y","1. VWO account is active (Viewer role)
2. Browser: Chrome Mobile, OS: iOS 17
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open login page
2. Use Tab key to navigate through fields
3. Use Enter to submit",Focus moves through Email > Password > Login button. Form submits on Enter.,,N/A
VWO-TC-0012,Test,Verify global search finds campaigns by name,Test covers: Navigation. Verify global search finds campaigns by name. Validates correct system behavior under QA Environment environment.,Low,To Do,Navigation,"navigation,sidebar,ui","1. VWO account is active (Viewer role)
2. Browser: Chrome Mobile, OS: Ubuntu 22.04
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Click search icon in header
2. Type campaign name 'Homepage CTA'
3. Observe results","Search results show matching campaigns, tests, and pages.",,Search query: 'Homepage CTA'
VWO-TC-0013,Test,Verify pausing a running A/B test,Test covers: A/B Testing. Verify pausing a running A/B test. Validates correct system behavior under Production environment.,High,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Viewer role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Click 'Pause' button
3. Confirm dialog",Test status changes to 'Paused'. Variations stop serving.,,Running test: 'Homepage CTA Test'
VWO-TC-0014,Test,Verify SQL injection protection in search,Test covers: Security. Verify SQL injection protection in search. Validates correct system behavior under QA Environment environment.,Low,To Do,Security,"security,xss,csrf","1. VWO account is active (Editor role)
2. Browser: Safari 17, OS: Android 14
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Go to global search
2. Enter: ' OR 1=1 --
3. Submit",No database error. Results are empty or show 'No results found'.,,Search input: ' OR 1=1 --
VWO-TC-0015,Test,Verify dashboard is responsive on mobile viewport,Test covers: Dashboard. Verify dashboard is responsive on mobile viewport. Validates correct system behavior under Production environment.,High,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Account Owner role)
2. Browser: Edge 124, OS: Android 14
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open app.vwo.com on mobile (375px)
2. Login
3. Observe dashboard layout",Dashboard adapts to mobile view. Widgets stack vertically. No horizontal scroll.,,Viewport: 375x812 (iPhone 14)
VWO-TC-0016,Test,Verify dashboard loads within 3 seconds,Test covers: Dashboard. Verify dashboard loads within 3 seconds. Validates correct system behavior under QA Environment environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Editor role)
2. Browser: Chrome Mobile, OS: Ubuntu 22.04
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Login to VWO
2. Start timer
3. Observe dashboard load completion",Dashboard fully loads in under 3 seconds on standard connection.,,"Network: 50 Mbps, Browser: Chrome latest"
VWO-TC-0017,Test,Verify filter recordings by page URL,Test covers: Session Recordings. Verify filter recordings by page URL. Validates correct system behavior under Production environment.,Low,To Do,Session Recordings,"recordings,sessions,replay","1. VWO account is active (Team Member role)
2. Browser: Chrome 124, OS: Ubuntu 22.04
3. Environment: Production
4. User is logged in to app.vwo.com","1. Go to Recordings
2. Click filter
3. Enter URL contains '/pricing'
4. Apply",Only recordings where user visited /pricing page are shown.,,Filter: URL contains /pricing
VWO-TC-0018,Test,Verify breadcrumb navigation is correct,Test covers: Navigation. Verify breadcrumb navigation is correct. Validates correct system behavior under Production environment.,Medium,To Do,Navigation,"navigation,sidebar,ui","1. VWO account is active (Account Owner role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Navigate to a campaign
2. Open a variation
3. Check breadcrumb at top",Breadcrumb shows: Dashboard > Campaigns > [Campaign Name] > Variations,,Campaign: 'Homepage Test'
VWO-TC-0019,Test,Verify date range filter on dashboard,Test covers: Dashboard. Verify date range filter on dashboard. Validates correct system behavior under Staging environment.,High,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Account Owner role)
2. Browser: Firefox 126, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open dashboard
2. Click date range picker
3. Select custom range: last 30 days
4. Apply filter",All dashboard widgets refresh and show data for selected range.,,Date range: last 30 days
VWO-TC-0020,Test,Verify dashboard recent activity feed,Test covers: Dashboard. Verify dashboard recent activity feed. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Account Owner role)
2. Browser: Firefox 126, OS: macOS Sonoma
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login
2. Scroll to 'Recent Activity' section
3. Verify entries","Feed shows last 10 actions with timestamps, user names, and action descriptions.",,Account with recent activity
VWO-TC-0021,Test,Verify date range filter on dashboard,Test covers: Dashboard. Verify date range filter on dashboard. Validates correct system behavior under Production environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Admin role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open dashboard
2. Click date range picker
3. Select custom range: last 30 days
4. Apply filter",All dashboard widgets refresh and show data for selected range.,,Date range: last 30 days
VWO-TC-0022,Test,Verify MFA via TOTP authenticator,Test covers: Login & Authentication. Verify MFA via TOTP authenticator. Validates correct system behavior under Production environment.,Low,To Do,Authentication,"login,auth,security","1. VWO account is active (Team Member role)
2. Browser: Edge 124, OS: iOS 17
3. Environment: Production
4. User is logged in to app.vwo.com","1. Login with valid credentials
2. When prompted, open authenticator app
3. Enter 6-digit TOTP code
4. Click Verify",TOTP verified. User lands on dashboard.,,TOTP code from Google Authenticator
VWO-TC-0023,Test,Verify confidence level indicator in test results,Test covers: A/B Testing. Verify confidence level indicator in test results. Validates correct system behavior under Pre-prod environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Admin role)
2. Browser: Chrome 124, OS: Android 14
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open completed A/B test
2. View results section
3. Check confidence level indicator",Confidence percentage displayed. Visual indicator shows statistical significance.,,Test with sufficient sample size
VWO-TC-0024,Test,Verify quick action buttons on dashboard,Test covers: Dashboard. Verify quick action buttons on dashboard. Validates correct system behavior under Production environment.,Low,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Admin role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Login to VWO
2. On dashboard, click 'Create Test' quick action
3. Observe behavior",Test creation wizard opens.,,N/A
VWO-TC-0025,Test,Verify stopping an A/B test,Test covers: A/B Testing. Verify stopping an A/B test. Validates correct system behavior under Staging environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Admin role)
2. Browser: Safari 17, OS: Android 14
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open a running test
2. Click 'Stop'
3. Select winner variation
4. Confirm",Test stops. Winner variation noted. Status: 'Completed'.,,Running test with 2 variations
VWO-TC-0026,Test,Verify move heatmap tracks cursor movement,Test covers: Heatmaps. Verify move heatmap tracks cursor movement. Validates correct system behavior under Production environment.,Medium,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Admin role)
2. Browser: Firefox 126, OS: Android 14
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open heatmap
2. Toggle to 'Move' view",Move heatmap shows areas where users hovered most. Hot zones highlighted in red.,,Page with move data
VWO-TC-0027,Test,Verify test statistics update in real time,Test covers: A/B Testing. Verify test statistics update in real time. Validates correct system behavior under Production environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Observe statistics panel
3. Wait 60 seconds
4. Refresh stats","Visitor count, conversions, and conversion rate update with latest data.",,Test with live traffic
VWO-TC-0028,Test,Verify confidence level indicator in test results,Test covers: A/B Testing. Verify confidence level indicator in test results. Validates correct system behavior under Pre-prod environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Editor role)
2. Browser: Edge 124, OS: macOS Sonoma
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open completed A/B test
2. View results section
3. Check confidence level indicator",Confidence percentage displayed. Visual indicator shows statistical significance.,,Test with sufficient sample size
VWO-TC-0029,Test,Verify timezone setting updates dashboard data,Test covers: Settings & Profile. Verify timezone setting updates dashboard data. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Settings,"settings,profile,account","1. VWO account is active (Team Member role)
2. Browser: Chrome Mobile, OS: Android 14
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to Settings > Account
2. Change timezone to 'America/New_York'
3. Save
4. Check dashboard timestamps",All timestamps in dashboard reflect the new timezone.,,Timezone: America/New_York
VWO-TC-0030,Test,Verify goal configuration for A/B test,Test covers: A/B Testing. Verify goal configuration for A/B test. Validates correct system behavior under Pre-prod environment.,High,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Account Owner role)
2. Browser: Chrome 124, OS: Android 14
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Create A/B test
2. Go to Goals step
3. Add goal: 'Click on CTA button'
4. Configure goal URL
5. Save",Goal saved. Test tracks clicks on CTA as conversion events.,,"Goal type: Click, Element: #cta-btn"
VWO-TC-0031,Test,Verify pausing a running A/B test,Test covers: A/B Testing. Verify pausing a running A/B test. Validates correct system behavior under QA Environment environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Team Member role)
2. Browser: Firefox 126, OS: iOS 17
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Click 'Pause' button
3. Confirm dialog",Test status changes to 'Paused'. Variations stop serving.,,Running test: 'Homepage CTA Test'
VWO-TC-0032,Test,Verify ARIA labels on interactive elements,Test covers: Accessibility. Verify ARIA labels on interactive elements. Validates correct system behavior under Staging environment.,High,To Do,Accessibility,"accessibility,aria,a11y","1. VWO account is active (Team Member role)
2. Browser: Chrome Mobile, OS: iOS 17
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open dashboard
2. Use screen reader
3. Navigate through buttons and links","All buttons, inputs, and links have descriptive ARIA labels.",,Screen reader: NVDA
VWO-TC-0033,Test,Verify move heatmap tracks cursor movement,Test covers: Heatmaps. Verify move heatmap tracks cursor movement. Validates correct system behavior under Production environment.,Low,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Account Owner role)
2. Browser: Firefox 126, OS: Android 14
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open heatmap
2. Toggle to 'Move' view",Move heatmap shows areas where users hovered most. Hot zones highlighted in red.,,Page with move data
VWO-TC-0034,Test,Verify Google Analytics integration setup,Test covers: API & Integrations. Verify Google Analytics integration setup. Validates correct system behavior under Pre-prod environment.,High,To Do,Integrations,"api,integration,webhook","1. VWO account is active (Team Member role)
2. Browser: Chrome 124, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to Integrations
2. Select Google Analytics
3. Enter GA Tracking ID
4. Connect",GA integration active. VWO experiment data flows to GA.,,GA Tracking ID: UA-XXXXXX-X
VWO-TC-0035,Test,Verify session recording playback,Test covers: Session Recordings. Verify session recording playback. Validates correct system behavior under Staging environment.,High,To Do,Session Recordings,"recordings,sessions,replay","1. VWO account is active (Admin role)
2. Browser: Chrome Mobile, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Navigate to Session Recordings
2. Click on a recording
3. Press Play","Session replays accurately showing mouse movement, clicks, and scrolls.",,Recording with 5+ minute session
VWO-TC-0036,Test,Verify Google Analytics integration setup,Test covers: API & Integrations. Verify Google Analytics integration setup. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Integrations,"api,integration,webhook","1. VWO account is active (Team Member role)
2. Browser: Chrome 124, OS: Ubuntu 22.04
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to Integrations
2. Select Google Analytics
3. Enter GA Tracking ID
4. Connect",GA integration active. VWO experiment data flows to GA.,,GA Tracking ID: UA-XXXXXX-X
VWO-TC-0037,Test,Verify global search finds campaigns by name,Test covers: Navigation. Verify global search finds campaigns by name. Validates correct system behavior under QA Environment environment.,Medium,To Do,Navigation,"navigation,sidebar,ui","1. VWO account is active (Editor role)
2. Browser: Edge 124, OS: macOS Sonoma
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Click search icon in header
2. Type campaign name 'Homepage CTA'
3. Observe results","Search results show matching campaigns, tests, and pages.",,Search query: 'Homepage CTA'
VWO-TC-0038,Test,Verify test report export to CSV,Test covers: Reports & Analytics. Verify test report export to CSV. Validates correct system behavior under QA Environment environment.,High,To Do,Reports,"reports,analytics,export","1. VWO account is active (Admin role)
2. Browser: Firefox 126, OS: iOS 17
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Open a completed test
2. Go to Reports tab
3. Click 'Export' > 'CSV'
4. Download file","CSV file downloaded with test data: visitors, conversions, rates per variation.",,Completed test with data
VWO-TC-0039,Test,Verify login with invalid password,Test covers: Login & Authentication. Verify login with invalid password. Validates correct system behavior under Production environment.,High,To Do,Authentication,"login,auth,security","1. VWO account is active (Admin role)
2. Browser: Firefox 126, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Navigate to app.vwo.com/login
2. Enter valid email {email}
3. Enter wrong password 'wrongpass'
4. Click 'Sign In'",Error message 'Invalid credentials' shown. User stays on login page.,,"email: test@vwo.com, password: wrongpass"
VWO-TC-0040,Test,Verify session recording speed controls,Test covers: Session Recordings. Verify session recording speed controls. Validates correct system behavior under Staging environment.,Medium,To Do,Session Recordings,"recordings,sessions,replay","1. VWO account is active (Editor role)
2. Browser: Chrome Mobile, OS: Android 14
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open a recording
2. Click speed control
3. Select 2x speed",Recording plays at 2x speed. Speed indicator updates.,,Recording: 3 min session
VWO-TC-0041,Test,Verify traffic split configuration for A/B test,Test covers: A/B Testing. Verify traffic split configuration for A/B test. Validates correct system behavior under Staging environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Editor role)
2. Browser: Chrome Mobile, OS: iOS 17
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Create new A/B test
2. Go to traffic allocation step
3. Set Control: 50%, Variation: 50%
4. Save",Traffic split saved as 50/50. Visual indicator updated.,,"Split: 50% control, 50% variation"
VWO-TC-0042,Test,Verify webhook fires on test completion,Test covers: API & Integrations. Verify webhook fires on test completion. Validates correct system behavior under Production environment.,High,To Do,Integrations,"api,integration,webhook","1. VWO account is active (Team Member role)
2. Browser: Chrome Mobile, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Configure webhook endpoint
2. Stop a running test
3. Check webhook receiver",POST request sent to webhook URL with test completion payload.,,Webhook URL: https://requestbin.com/test
VWO-TC-0043,Test,Verify login with unregistered email,Test covers: Login & Authentication. Verify login with unregistered email. Validates correct system behavior under Staging environment.,Medium,To Do,Authentication,"login,auth,security","1. VWO account is active (Viewer role)
2. Browser: Chrome Mobile, OS: Android 14
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Go to app.vwo.com/login
2. Enter unregistered email 'notexist@vwo.com'
3. Enter any password
4. Click 'Sign In'",Error: 'No account found with this email'. Login blocked.,,"email: notexist@vwo.com, password: Test@1234"
VWO-TC-0044,Test,Verify revenue impact metric in test report,Test covers: Reports & Analytics. Verify revenue impact metric in test report. Validates correct system behavior under Staging environment.,High,To Do,Reports,"reports,analytics,export","1. VWO account is active (Admin role)
2. Browser: Firefox 126, OS: Android 14
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open A/B test with revenue goal configured
2. Navigate to Reports
3. Check revenue impact row",Revenue impact shows estimated lift per variation with confidence interval.,,Test with revenue goal: $
VWO-TC-0045,Test,Verify XSS protection in test name input,Test covers: Security. Verify XSS protection in test name input. Validates correct system behavior under Production environment.,Medium,To Do,Security,"security,xss,csrf","1. VWO account is active (Admin role)
2. Browser: Chrome 124, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Create new A/B test
2. Enter test name: <script>alert('xss')</script>
3. Save",Script tag sanitized. Name saved as plain text. No JS executed.,,Input: <script>alert('xss')</script>
VWO-TC-0046,Test,Verify timezone setting updates dashboard data,Test covers: Settings & Profile. Verify timezone setting updates dashboard data. Validates correct system behavior under Production environment.,High,To Do,Settings,"settings,profile,account","1. VWO account is active (Account Owner role)
2. Browser: Safari 17, OS: iOS 17
3. Environment: Production
4. User is logged in to app.vwo.com","1. Go to Settings > Account
2. Change timezone to 'America/New_York'
3. Save
4. Check dashboard timestamps",All timestamps in dashboard reflect the new timezone.,,Timezone: America/New_York
VWO-TC-0047,Test,Verify session recording playback,Test covers: Session Recordings. Verify session recording playback. Validates correct system behavior under Staging environment.,Low,To Do,Session Recordings,"recordings,sessions,replay","1. VWO account is active (Account Owner role)
2. Browser: Chrome Mobile, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Navigate to Session Recordings
2. Click on a recording
3. Press Play","Session replays accurately showing mouse movement, clicks, and scrolls.",,Recording with 5+ minute session
VWO-TC-0048,Test,Verify CSRF token present in form submissions,Test covers: Security. Verify CSRF token present in form submissions. Validates correct system behavior under Staging environment.,High,To Do,Security,"security,xss,csrf","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Login
2. Submit any form
3. Inspect network request headers",CSRF token present in request headers or form payload.,,Chrome DevTools Network tab
VWO-TC-0049,Test,Verify stopping an A/B test,Test covers: A/B Testing. Verify stopping an A/B test. Validates correct system behavior under QA Environment environment.,High,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Team Member role)
2. Browser: Firefox 126, OS: macOS Sonoma
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Open a running test
2. Click 'Stop'
3. Select winner variation
4. Confirm",Test stops. Winner variation noted. Status: 'Completed'.,,Running test with 2 variations
VWO-TC-0050,Test,Verify conversion rate widget chart renders correctly,Test covers: Dashboard. Verify conversion rate widget chart renders correctly. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Editor role)
2. Browser: Edge 124, OS: iOS 17
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login
2. Go to dashboard
3. Find conversion rate chart widget
4. Hover over data points",Line chart renders. Hover tooltips show date and conversion % values.,,Account with 30-day conversion data
VWO-TC-0051,Test,Verify heatmap loads for a configured page,Test covers: Heatmaps. Verify heatmap loads for a configured page. Validates correct system behavior under Staging environment.,Low,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Viewer role)
2. Browser: Chrome Mobile, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Go to Heatmaps section
2. Select a configured page
3. Click 'View Heatmap'",Click heatmap renders with color gradient overlay on page screenshot.,,"Page: /home, Min clicks: 100"
VWO-TC-0052,Test,Verify test report export to PDF,Test covers: Reports & Analytics. Verify test report export to PDF. Validates correct system behavior under Staging environment.,Medium,To Do,Reports,"reports,analytics,export","1. VWO account is active (Editor role)
2. Browser: Edge 124, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open test results
2. Click 'Export' > 'PDF'
3. Wait for generation","PDF report generated with charts, summary, and variation comparison.",,Test with 30+ days data
VWO-TC-0053,Test,Verify quick action buttons on dashboard,Test covers: Dashboard. Verify quick action buttons on dashboard. Validates correct system behavior under Staging environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Team Member role)
2. Browser: Chrome Mobile, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Login to VWO
2. On dashboard, click 'Create Test' quick action
3. Observe behavior",Test creation wizard opens.,,N/A
VWO-TC-0054,Test,Verify test report export to CSV [Edge 124 / Production],Test covers: Reports & Analytics. Verify test report export to CSV. Validates correct system behavior under Production environment.,High,To Do,Reports,"reports,analytics,export","1. VWO account is active (Account Owner role)
2. Browser: Edge 124, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open a completed test
2. Go to Reports tab
3. Click 'Export' > 'CSV'
4. Download file","CSV file downloaded with test data: visitors, conversions, rates per variation.",,Completed test with data
VWO-TC-0055,Test,Verify chart data loads asynchronously [Safari 17 / Production],Test covers: Performance. Verify chart data loads asynchronously. Validates correct system behavior under Production environment.,Medium,To Do,Performance,"performance,load,speed","1. VWO account is active (Editor role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open a test report
2. Observe loading behavior",Page skeleton shown first. Charts load asynchronously without blocking UI.,,Test with 90 days data
VWO-TC-0056,Test,Verify date range filter on dashboard [Chrome 124 / Production],Test covers: Dashboard. Verify date range filter on dashboard. Validates correct system behavior under Production environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Admin role)
2. Browser: Chrome 124, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open dashboard
2. Click date range picker
3. Select custom range: last 30 days
4. Apply filter",All dashboard widgets refresh and show data for selected range.,,Date range: last 30 days
VWO-TC-0057,Test,Verify login with unregistered email,Test covers: Login & Authentication. Verify login with unregistered email. Validates correct system behavior under Production environment.,High,To Do,Authentication,"login,auth,security","1. VWO account is active (Viewer role)
2. Browser: Firefox 126, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Go to app.vwo.com/login
2. Enter unregistered email 'notexist@vwo.com'
3. Enter any password
4. Click 'Sign In'",Error: 'No account found with this email'. Login blocked.,,"email: notexist@vwo.com, password: Test@1234"
VWO-TC-0058,Test,Verify session recording playback,Test covers: Session Recordings. Verify session recording playback. Validates correct system behavior under Staging environment.,High,To Do,Session Recordings,"recordings,sessions,replay","1. VWO account is active (Account Owner role)
2. Browser: Edge 124, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Navigate to Session Recordings
2. Click on a recording
3. Press Play","Session replays accurately showing mouse movement, clicks, and scrolls.",,Recording with 5+ minute session
